,log2FoldChange,pvalue,padj
Os03g0250400,-7.322575294,7.90E-09,3.20E-07
Os12g0561900,-7.194954865,4.63E-08,1.55E-06
Os05g0458500,-6.752530763,8.88E-07,2.01E-05
Os02g0318450,-6.732310994,9.56E-07,2.15E-05
Os12g0132500,-6.702716883,1.04E-06,2.31E-05
Os01g0159200,-6.352471782,1.71E-12,1.58E-10
Os05g0189900,-6.171680662,2.30E-05,0.000335253
Os05g0135500,-6.025001909,3.44E-05,0.00047248
Os02g0171500,-6.022677616,5.39E-07,1.32E-05
Os01g0358100,-6.012763279,5.70E-05,0.000728738
Os01g0605500,-5.950875793,0.000144241,0.001571145
Os08g0101100,-5.936546043,0.000113787,0.001280031
Os03g0250301,-5.927490885,5.93E-19,2.09E-16
Os05g0435800,-5.920107615,7.33E-05,0.000888388
Os11g0155975,-5.88378669,6.90E-05,0.00084859
Os04g0656500,-5.866315898,0.000116081,0.001302741
Os06g0727000,-5.864559604,9.53E-05,0.00110086
Os02g0571300,-5.860984644,9.24E-05,0.001074217
Os05g0386700,-5.845682944,0.000104291,0.001189918
Os05g0400100,-5.843510953,2.53E-05,0.000362716
Os05g0400500,-5.835874675,0.000154517,0.001662596
Os04g0526300,-5.835660463,0.000123885,0.001375954
Os01g0219600,-5.829545951,5.56E-05,0.00071368
Os03g0134900,-5.824206922,0.000135756,0.001492368
Os05g0163300,-5.789183091,1.33E-30,3.15E-27
Os04g0629400,-5.761080665,0.000146427,0.001588424
Os06g0671600,-5.707956436,0.000281956,0.002752597
Os02g0549401,-5.701358856,0.000176578,0.001861477
Os11g0592600,-5.685921472,3.59E-27,4.46E-24
Os03g0341600,-5.670559607,0.000379589,0.003518267
Os03g0273200,-5.658869582,1.69E-89,3.99E-85
Os01g0892300,-5.64288291,0.000461136,0.004115921
Os05g0190300,-5.637930413,0.000309641,0.002967706
Os04g0376700,-5.558489754,1.48E-06,3.12E-05
Os04g0212450,-5.546859374,0.000382064,0.003536016
Os09g0468000,-5.515547746,0.0004054,0.00370663
Os04g0483450,-5.485093597,0.000623612,0.005275261
Os07g0142100,-5.414262561,0.001169439,0.008747085
Os04g0138800,-5.39804471,0.000612707,0.005216617
Os04g0433300,-5.397679962,0.000880151,0.006983
Os02g0768300,-5.385665853,4.18E-06,7.75E-05
Os03g0283200,-5.363826118,0.001028076,0.007922591
Os12g0560700,-5.342217019,2.22E-08,7.95E-07
Os03g0108300,-5.265480324,0.00036746,0.003430059
