,log2FoldChange,pvalue,padj
Os03g0250400,-7.322575294,7.90E-09,3.20E-07
Os12g0561900,-7.194954865,4.63E-08,1.55E-06
Os05g0458500,-6.752530763,8.88E-07,2.01E-05
Os02g0318450,-6.732310994,9.56E-07,2.15E-05
Os12g0132500,-6.702716883,1.04E-06,2.31E-05
Os01g0159200,-6.352471782,1.71E-12,1.58E-10
Os05g0189900,-6.171680662,2.30E-05,0.000335253
Os05g0135500,-6.025001909,3.44E-05,0.00047248
Os02g0171500,-6.022677616,5.39E-07,1.32E-05
Os01g0358100,-6.012763279,5.70E-05,0.000728738
Os01g0605500,-5.950875793,0.000144241,0.001571145
Os08g0101100,-5.936546043,0.000113787,0.001280031
Os03g0250301,-5.927490885,5.93E-19,2.09E-16
Os05g0435800,-5.920107615,7.33E-05,0.000888388
Os11g0155975,-5.88378669,6.90E-05,0.00084859
Os04g0656500,-5.866315898,0.000116081,0.001302741
Os06g0727000,-5.864559604,9.53E-05,0.00110086
Os02g0571300,-5.860984644,9.24E-05,0.001074217
Os05g0386700,-5.845682944,0.000104291,0.001189918
Os05g0400100,-5.843510953,2.53E-05,0.000362716
Os07g0620600,2.998207593,1.01E-14,1.44E-12
Os01g0624700,3.028275475,0.000224732,0.002274851
Os02g0268050,3.080425286,1.40E-09,7.04E-08
Os02g0812000,3.093102765,1.23E-12,1.18E-10
Os06g0692500,3.178348361,2.71E-08,9.47E-07
Os12g0438600,3.221419851,1.15E-07,3.43E-06
Os03g0140551,3.283424416,2.74E-05,0.00038859
Os09g0455300,3.303584794,0.00094496,0.007388066
Os09g0417800,3.349695697,2.22E-52,1.75E-48
Os07g0558100,3.406309353,5.26E-08,1.73E-06
Os11g0659200,3.422059118,4.72E-09,2.04E-07
Os04g0657600,3.423138652,1.55E-20,7.29E-18
Os06g0317100,3.444403904,2.03E-07,5.67E-06
Os09g0259200,3.605515826,4.85E-05,0.000635147
Os01g0131600,3.872189148,0.000324532,0.003087884
Os03g0332500,4.03753639,4.41E-14,5.73E-12
Os06g0243100,5.650923307,9.66E-05,0.001112805
Os03g0644600,5.766210177,6.89E-05,0.00084859
Os11g0424400,6.393481528,3.51E-05,0.000480228
Os03g0278500,6.593881727,4.78E-05,0.000627687
